subfigure	H	multicellular	xmin	density
A	Loops	Metazoa & Embryophyta	0.000377216144851	3.21676052798378e-09
A	Loops	Metazoa & Embryophyta	0.000389524334284357	0
A	Loops	Metazoa & Embryophyta	0.000402234127756129	0
A	Loops	Metazoa & Embryophyta	0.000415358629208577	3.21676052798378e-09
A	Loops	Metazoa & Embryophyta	0.000428911370152626	0
A	Loops	Metazoa & Embryophyta	0.000442906323619013	2.95329267746319e-09
A	Loops	Metazoa & Embryophyta	0.000457357918564632	7.68296942987878e-09
A	Loops	Metazoa & Embryophyta	0.000472281054748962	1.00092510276646e-08
A	Loops	Metazoa & Embryophyta	0.000487691118095885	7.09077171043587e-10
A	Loops	Metazoa & Embryophyta	0.000503603996556749	6.81941701966429e-09
A	Loops	Metazoa & Embryophyta	0.000520036096491032	1.21440485904218e-08
A	Loops	Metazoa & Embryophyta	0.000537004359581477	1.23045286780045e-08
A	Loops	Metazoa & Embryophyta	0.00055452628030117	6.82317436812493e-09
A	Loops	Metazoa & Embryophyta	0.000572619923950536	2.48860854286549e-08
A	Loops	Metazoa & Embryophyta	0.000591303945282872	2.70988394807196e-08
A	Loops	Metazoa & Embryophyta	0.000610597607737611	2.43468515994481e-08
A	Loops	Metazoa & Embryophyta	0.000630520803301147	2.20214479307823e-08
A	Loops	Metazoa & Embryophyta	0.000651094073015698	3.27602129485271e-08
A	Loops	Metazoa & Embryophyta	0.000672338628157363	1.35171350057268e-06
A	Loops	Metazoa & Embryophyta	0.000694276372105182	3.3645066538712e-07
A	Loops	Metazoa & Embryophyta	0.000716929922923771	1.88956767367204e-07
A	Loops	Metazoa & Embryophyta	0.000740322636682811	1.86569393826022e-07
A	Loops	Metazoa & Embryophyta	0.000764478631537416	1.23819907434732e-05
A	Loops	Metazoa & Embryophyta	0.000789422812594228	2.90202800603597e-05
A	Loops	Metazoa & Embryophyta	0.000815180897588871	2.13355776384549e-05
A	Loops	Metazoa & Embryophyta	0.000841779443401222	6.76473184958248e-05
A	Loops	Metazoa & Embryophyta	0.000869245873435866	0.000137757561431338
A	Loops	Metazoa & Embryophyta	0.000897608505895935	0.000110276952865452
A	Loops	Metazoa & Embryophyta	0.000926896582979496	6.01623722073566e-05
A	Loops	Metazoa & Embryophyta	0.000957140301028598	0.000384093170883589
A	Loops	Metazoa & Embryophyta	0.000988370841662044	0.000234731702801194
A	Loops	Metazoa & Embryophyta	0.00102062040392399	0.000252591862141745
A	Loops	Metazoa & Embryophyta	0.00105392223748153	0.000292899058161971
A	Loops	Metazoa & Embryophyta	0.0010883106769055	0.000634435286131624
A	Loops	Metazoa & Embryophyta	0.00112382117706977	0.000202814648977509
A	Loops	Metazoa & Embryophyta	0.00116049034970568	0.000265014093731908
A	Loops	Metazoa & Embryophyta	0.0011983560011491	0.000424195114116358
A	Loops	Metazoa & Embryophyta	0.00123745717131924	0.000495938318532283
A	Loops	Metazoa & Embryophyta	0.00127783417396922	0.000455351536229627
A	Loops	Metazoa & Embryophyta	0.00131952863825002	0.00331862892093449
A	Loops	Metazoa & Embryophyta	0.00136258355163062	0.00119719384026237
A	Loops	Metazoa & Embryophyta	0.00140704330421854	0.00916205034346384
A	Loops	Metazoa & Embryophyta	0.00145295373452661	0.0130911482042776
A	Loops	Metazoa & Embryophyta	0.00150036217673292	0.00466804649853416
A	Loops	Metazoa & Embryophyta	0.00154931750948297	0.00525831047340093
A	Loops	Metazoa & Embryophyta	0.00159987020628408	0.00640370516303187
A	Loops	Metazoa & Embryophyta	0.00165207238754412	0.0042935076459505
A	Loops	Metazoa & Embryophyta	0.00170597787430834	0.00199102276156467
A	Loops	Metazoa & Embryophyta	0.00176164224374935	0.00303675599604521
A	Loops	Metazoa & Embryophyta	0.00181912288646796	0.00294812111903829
A	Loops	Metazoa & Embryophyta	0.00187847906566344	0.00200483102958296
A	Loops	Metazoa & Embryophyta	0.0019397719782346	0.00154804434688767
A	Loops	Metazoa & Embryophyta	0.00200306481787448	0.00545234733600599
A	Loops	Metazoa & Embryophyta	0.00206842284022379	0.00437173479297742
A	Loops	Metazoa & Embryophyta	0.0021359134301502	0.00300993699816246
