accession	tempOptimMin	tempOptimMax	tempMin	tempMax	path
B8YPW8	37.0	37.0	25.0	65.0	PH/100/100-0/AF-B8YPW8-F1-model_v3.json.gz
Q845T0	50.0	50.0	35.0	60.0	PH/100/100-0/AF-Q845T0-F1-model_v3.json.gz
G9CHX6	45.0	45.0	20.0	70.0	PH/100/1000442-0/AF-G9CHX6-F1-model_v3.json.gz
M5AXT3	30.0	30.0	20.0	70.0	PH/100/1001583-0/AF-M5AXT3-F1-model_v3.json.gz
O54161	30.0	45.0			PH/100/100226-0/AF-O54161-F1-model_v3.json.gz
O86728	50.0	50.0	30.0	60.0	PH/100/100226-0/AF-O86728-F1-model_v3.json.gz
O86786	22.0	22.0			PH/100/100226-0/AF-O86786-F1-model_v3.json.gz
P0A4E1	33.0	33.0			PH/100/100226-0/AF-P0A4E1-F1-model_v3.json.gz
P15474	25.0	25.0			PH/100/100226-0/AF-P15474-F1-model_v3.json.gz
P16250	25.0	25.0			PH/100/100226-0/AF-P16250-F1-model_v3.json.gz
Q8CJQ1	60.0	60.0	50.0	50.0	PH/100/100226-0/AF-Q8CJQ1-F1-model_v3.json.gz
Q93J06	45.0	55.0			PH/100/100226-0/AF-Q93J06-F1-model_v3.json.gz
Q93J76	40.0	40.0	40.0	50.0	PH/100/100226-0/AF-Q93J76-F1-model_v3.json.gz
Q93RU6	40.0	40.0	40.0	50.0	PH/100/100226-0/AF-Q93RU6-F1-model_v3.json.gz
Q9ADE8	28.0	28.0			PH/100/100226-0/AF-Q9ADE8-F1-model_v3.json.gz
Q9F1Y5	37.0	37.0			PH/100/100226-0/AF-Q9F1Y5-F1-model_v3.json.gz
Q9F1Y5	30.0	30.0			PH/100/100226-0/AF-Q9F1Y5-F1-model_v3.json.gz
Q9F3K4	30.0	30.0			PH/100/100226-0/AF-Q9F3K4-F1-model_v3.json.gz
Q9K3J3	50.0	50.0	40.0	60.0	PH/100/100226-0/AF-Q9K3J3-F1-model_v3.json.gz
Q9K3S8	45.0	45.0	5.0	50.0	PH/100/100226-0/AF-Q9K3S8-F1-model_v3.json.gz
