accession	tempOptimMin	tempOptimMax	tempMin	tempMax
P14295	50.0	50.0	30.0	50.0
P14295	30.0	30.0	30.0	50.0
V5M269	37.0	37.0	30.0	75.0
Q5FI04	45.0	45.0	20.0	75.0
A8J2S9	40.0	40.0	20.0	75.0
Q7Y0K5	40.0	40.0	30.0	50.0
A3KEZ1	37.0	37.0	25.0	55.0
P96105	80.0	80.0	60.0	90.0
O57878	80.0	80.0	50.0	80.0
O57878	80.0	80.0	50.0	95.0
O57878	95.0	95.0	50.0	80.0
O57878	95.0	95.0	50.0	95.0
A0A223K4L6	45.0	45.0	20.0	55.0
A0A223K4L6	45.0	45.0	20.0	45.0
P03813	37.0	37.0	25.0	50.0
P32960	37.0	37.0	25.0	45.0
T1SP91	70.0	70.0	50.0	80.0
A0A0M4HL56	45.0	45.0	50.0	50.0
F2DQG9	45.0	45.0	35.0	60.0
Q9F150	65.0	65.0	30.0	90.0
P49421	55.0	55.0	5.0	75.0
Q877I0	95.0	95.0	85.0	100.0
C7E719	50.0	50.0	10.0	70.0
A2BLE9	80.0	80.0	70.0	80.0
A0A1Q2T258	60.0	60.0	40.0	40.0
P44430	40.0	40.0	10.0	50.0
B9E972	25.0	25.0	15.0	35.0
T5I9M6	28.0	28.0	20.0	45.0
F8JS69	30.0	30.0	20.0	50.0
B5HL29	30.0	30.0	10.0	50.0
Q1MLL4	35.0	35.0	15.0	55.0
O27970	80.0	80.0	80.0	100.0
Q976X5	80.0	80.0	70.0	90.0
Q975F9	80.0	80.0	70.0	100.0
Q975F9	80.0	80.0	70.0	100.0
Q975F9	95.0	95.0	70.0	100.0
Q975F9	95.0	95.0	70.0	100.0
Q52087	50.0	50.0	40.0	60.0
Q96XE7	60.0	60.0	50.0	90.0
Q96XE7	70.0	70.0	50.0	90.0
A9ZPH9	45.0	45.0	35.0	55.0
Q9YGB5	85.0	85.0	60.0	95.0
Q09UW1	37.0	37.0	30.0	50.0
Q09UW0	37.0	37.0	30.0	50.0
P96273	37.0	37.0	30.0	42.0
B3VI58	25.0	25.0	10.0	10.0
Q988C9	30.0	30.0	55.0	55.0
A0A0K0M968	50.0	50.0	30.0	60.0
K7QTY9	35.0	35.0	10.0	50.0
Q9XGP7	37.0	37.0	12.0	12.0
A0A133Q8U5	35.0	35.0	20.0	50.0
A0A133Q8U5	35.0	35.0	20.0	50.0
Q01772	30.0	30.0	20.0	50.0
Q8FZW3	28.0	35.0	10.0	45.0
Q93X60	40.0	50.0	20.0	70.0
Q9FNS9	35.0	35.0	25.0	45.0
Q93X59	35.0	35.0	20.0	50.0
A9JIF3	40.0	40.0	20.0	50.0
Q64GB3	40.0	40.0	30.0	50.0
Q9JZ55	45.0	45.0	20.0	70.0
Q9X0C8	30.0	30.0	30.0	70.0
Q9X0C6	30.0	30.0	30.0	70.0
A4ADB8	35.0	35.0	20.0	32.0
Q8U488	70.0	70.0	80.0	95.0
Q8U488	95.0	95.0	80.0	95.0
Q49SP3	40.0	40.0	30.0	30.0
Q49SP3	40.0	40.0	20.0	20.0
Q49SP3	40.0	40.0	20.0	40.0
Q49SP3	38.0	38.0	30.0	30.0
Q49SP3	38.0	38.0	20.0	20.0
Q49SP3	38.0	38.0	20.0	40.0
O58453	90.0	90.0	60.0	100.0
O29777	70.0	80.0	60.0	80.0
O29777	20.0	20.0	60.0	80.0
O29777	75.0	75.0	60.0	80.0
Q5JFK3	100.0	100.0	70.0	100.0
B5AX16	40.0	40.0	5.0	5.0
B6E623	57.0	57.0	40.0	70.0
A1DRD5	57.0	57.0	40.0	70.0
Q8U4G1	90.0	90.0	70.0	103.0
Q8U4G1	70.0	70.0	70.0	103.0
A0A1D3US71	7.2	7.6	6.0	8.4
Q52428	60.0	60.0	35.0	75.0
Q52428	65.0	65.0	35.0	75.0
Q52428	75.0	75.0	35.0	75.0
A0A0E3JXD9	37.0	37.0	30.0	48.0
Q6TGN2	35.0	35.0	20.0	60.0
A0A1S5VH74	50.0	50.0	40.0	70.0
Q877I4	70.0	70.0	50.0	75.0
Q877I4	70.0	70.0	50.0	75.0
Q877I3	70.0	70.0	50.0	75.0
Q877I3	70.0	70.0	50.0	75.0
Q877I5	70.0	70.0	50.0	75.0
Q877I5	70.0	70.0	50.0	75.0
Q877I4	65.0	65.0	50.0	75.0
Q877I4	65.0	65.0	50.0	75.0
Q877I3	65.0	65.0	50.0	75.0
Q877I3	65.0	65.0	50.0	75.0
Q877I5	65.0	65.0	50.0	75.0
Q877I5	65.0	65.0	50.0	75.0
Q877I4	60.0	70.0	50.0	75.0
Q877I4	60.0	70.0	50.0	75.0
Q877I5	60.0	70.0	50.0	75.0
Q877I5	60.0	70.0	50.0	75.0
Q877I3	60.0	70.0	50.0	75.0
Q877I3	60.0	70.0	50.0	75.0
Q8J2Z5	75.0	75.0	40.0	85.0
Q57843	50.0	50.0	25.0	85.0
Q57843	60.0	60.0	25.0	85.0
P00723	37.0	37.0	22.0	50.0
Q6QTF4	37.0	37.0	22.0	50.0
P22498	85.0	85.0	70.0	95.0
P22498	85.0	85.0	65.0	95.0
P22498	85.0	85.0	80.0	90.0
P29853	65.0	65.0	50.0	75.0
P81650	48.0	48.0	28.0	48.0
Q0R5R5	65.0	70.0	35.0	85.0
O52629	93.0	93.0	93.0	110.0
C7SLY9	60.0	60.0	37.0	80.0
Q6RGS1	40.0	40.0	10.0	40.0
Q9KI47	42.0	42.0	24.0	56.0
P22498	80.0	80.0	70.0	95.0
P22498	80.0	80.0	65.0	95.0
P22498	80.0	80.0	80.0	90.0
B9LW38	50.0	50.0	35.0	60.0
B9LW38	50.0	50.0	4.0	4.0
P22498	90.0	90.0	70.0	95.0
P22498	90.0	90.0	65.0	95.0
P22498	90.0	90.0	80.0	90.0
O52629	90.0	90.0	93.0	110.0
E7FHC0	90.0	90.0	60.0	100.0
P26997	85.0	85.0	40.0	90.0
P26997	85.0	85.0	55.0	95.0
D2DK62	85.0	85.0	60.0	95.0
P26997	60.0	60.0	40.0	90.0
P26997	60.0	60.0	55.0	95.0
C7G532	60.0	60.0	30.0	65.0
G0LC40	50.0	60.0	30.0	80.0
Q58761	85.0	85.0	72.0	95.0
P17050	50.0	50.0	37.0	68.0
F9VNB1	45.0	45.0	25.0	50.0
Q9SB00	15.0	15.0	15.0	37.0
Q49SP3	40.0	40.0	30.0	30.0
Q49SP3	40.0	40.0	20.0	20.0
Q49SP3	40.0	40.0	20.0	40.0
Q1ARU5	60.0	60.0	20.0	80.0
Q5VK60	55.0	55.0	20.0	50.0
Q5VK60	55.0	55.0	30.0	60.0
Q5VK60	35.0	38.0	20.0	50.0
Q5VK60	35.0	38.0	30.0	60.0
Q9GK11	45.0	55.0	35.0	60.0
Q5VK60	30.0	30.0	20.0	50.0
Q5VK60	30.0	30.0	30.0	60.0
M4LK61	40.0	40.0	20.0	60.0
A0A125S6K7	45.0	45.0	20.0	50.0
A0A125S6K8	35.0	35.0	20.0	50.0
S4ULD7	25.0	25.0	5.0	45.0
E4QP00	45.0	45.0	25.0	45.0
E4QP00	45.0	45.0	25.0	45.0
E4QP00	45.0	45.0	25.0	45.0
O93627	100.0	100.0	50.0	100.0
A0A0C4XY83	80.0	80.0	40.0	90.0
A0A0C4XY83	80.0	80.0	70.0	85.0
A1CZ35	55.0	60.0	30.0	65.0
P12547	40.0	40.0	40.0	60.0
Q9Y749	45.0	45.0	30.0	55.0
F6N111	45.0	45.0	15.0	70.0
A0A088BHP3	40.0	40.0	15.0	60.0
A0A088BHP3	40.0	40.0	15.0	60.0
A0A5B8TZA8	50.0	50.0	20.0	80.0
A0A5B8TZA8	50.0	50.0	20.0	70.0
D3PLE5	55.0	55.0	30.0	78.0
A0A1S5V3K5	40.0	40.0	30.0	70.0
Q65KZ6	40.0	40.0	30.0	50.0
L7Z147	50.0	50.0	30.0	60.0
Q4KIM5	50.0	50.0	30.0	60.0
Q4KIM5	50.0	50.0	30.0	60.0
A9YTT0	70.0	70.0	40.0	80.0
A9YTT0	60.0	60.0	40.0	80.0
A9QXB5	85.0	85.0	60.0	100.0
A7UHH1	80.0	80.0	40.0	100.0
A7UHH1	80.0	80.0	70.0	100.0
K7WTF8	35.0	35.0	25.0	55.0
A0A286PT85	50.0	50.0	40.0	55.0
B3IXL6	42.5	42.5	25.0	47.0
H9CDG2	50.0	50.0	40.0	80.0
H9CDG2	50.0	50.0	35.0	65.0
H9CDG2	65.0	65.0	40.0	80.0
H9CDG2	65.0	65.0	35.0	65.0
A0A290U7B6	18.0	18.0	5.0	45.0
A0A290U7B6	18.0	18.0	8.0	40.0
H5SPS2	90.0	90.0	40.0	100.0
D9Q1R5	90.0	90.0	60.0	100.0
D9Q1R5	90.0	90.0	65.0	98.0
Q8ESQ6	45.0	45.0	25.0	55.0
Q5SLG5	65.0	65.0	50.0	80.0
Q68SL7	36.0	36.0	20.0	47.0
Q6Z1Y6	45.0	45.0	70.0	70.0
D3JU53	37.0	37.0	25.0	55.0
A0A6F8T0V6	65.0	65.0	50.0	75.0
Q93ZC9	35.0	35.0	10.0	60.0
Q6E7F1	15.0	37.0	4.0	50.0
G7VCG0	75.0	75.0	60.0	85.0
I7CKJ5	37.0	37.0	15.0	55.0
Q71JU8	55.0	55.0	40.0	60.0
Q8W259	40.0	40.0	30.0	50.0
A0A5P8Q188	30.0	30.0	20.0	40.0
B7J413	35.0	35.0	20.0	37.0
A6M970	60.0	60.0	40.0	80.0
A6M970	22.0	37.0	40.0	80.0
A0A0F6N3N1	38.0	38.0	4.0	65.0
P11544	55.0	60.0	30.0	55.0
P11544	30.0	30.0	30.0	55.0
Q68G84	70.0	70.0	30.0	70.0
D0QU16	40.0	40.0	20.0	60.0
A0A0H5BR52	35.0	35.0	20.0	50.0
B7VF77	40.0	40.0	20.0	60.0
Q9HH07	65.0	65.0	40.0	80.0
Q2Q452	80.0	80.0	65.0	90.0
S4TJ23	50.0	50.0	65.0	65.0
A0A223FUT7	25.0	25.0	15.0	30.0
S5U3X4	50.0	50.0	50.0	55.0
S5U3X4	50.0	50.0	30.0	55.0
S5U3X4	39.0	39.0	50.0	55.0
S5U3X4	39.0	39.0	30.0	55.0
A0A2I4KDZ0	35.0	35.0	25.0	50.0
Q9LBX2	65.0	65.0	30.0	65.0
Q9LBX2	37.0	50.0	30.0	65.0
Q936X2	30.0	30.0	28.0	45.0
Q936X2	28.0	28.0	28.0	45.0
Q936X2	28.0	28.0	28.0	45.0
P22144	35.0	35.0	20.0	55.0
A0A3S7PMC4	35.0	35.0	25.0	55.0
A0A141BGH5	35.0	35.0	25.0	40.0
A0A3S7PMB5	45.0	45.0	25.0	60.0
P22144	30.0	30.0	20.0	55.0
A0A141BGH5	30.0	30.0	25.0	40.0
A0A1B4XTS0	40.0	40.0	10.0	55.0
A0A1B4XTS0	40.0	40.0	10.0	55.0
S6BFC0	60.0	60.0	10.0	65.0
B5L017	35.0	35.0	50.0	50.0
W0A856	35.0	35.0	15.0	50.0
C9E261	30.0	30.0	25.0	25.0
C9E261	30.0	30.0	40.0	40.0
P06622	50.0	50.0	25.0	80.0
V5W6K5	70.0	80.0	50.0	80.0
A2IBI0	35.0	35.0	20.0	50.0
A0A288W730	40.0	40.0	20.0	60.0
A0A0D5A4E4	35.0	35.0	25.0	40.0
A0A0D5A4L3	35.0	35.0	30.0	40.0
O74641	55.0	55.0	35.0	70.0
A0A0G2YFI9	37.0	37.0	25.0	42.0
A0A0F7J8S0	37.0	37.0	30.0	50.0
A0A0G2YFI9	42.0	42.0	25.0	42.0
P39460	87.0	87.0	87.0	87.0
D9IL10	40.0	40.0	20.0	45.0
P0A9B2	55.0	55.0	45.0	60.0
J3T995	50.0	50.0	30.0	65.0
O30560	85.0	85.0	35.0	85.0
P61112	80.0	80.0	70.0	90.0
Q8TZL6	88.0	88.0	40.0	98.0
C0HK05	37.0	37.0	25.0	60.0
Q6UV28	37.0	37.0	35.0	65.0
Q6UV28	50.0	50.0	35.0	65.0
A0A1L4FQZ9	50.0	50.0	30.0	60.0
D0VX20	35.0	35.0	20.0	50.0
Q6XNK6	35.0	35.0	20.0	55.0
Q6XNK6	35.0	35.0	20.0	50.0
D0VX20	30.0	30.0	20.0	50.0
Q6XNK6	30.0	35.0	20.0	55.0
Q6XNK6	30.0	35.0	20.0	50.0
Q4V6M1	25.0	40.0	20.0	60.0
P0DOW0	50.0	50.0	40.0	80.0
P29082	85.0	85.0	50.0	108.0
P29082	85.0	85.0	75.0	100.0
P29082	22.0	22.0	50.0	108.0
P29082	22.0	22.0	75.0	100.0
B9VXW6	40.0	40.0	30.0	50.0
E9P162	40.0	40.0	35.0	45.0
A0A167V6N5	30.0	30.0	10.0	40.0
Q9WYD3	85.0	85.0	50.0	50.0
Q56775	35.0	35.0	60.0	60.0
Q56775	35.0	35.0	20.0	20.0
Q9XFX4	40.0	40.0	30.0	60.0
Q9S3L0	60.0	60.0	80.0	80.0
Q9S3L0	60.0	60.0	70.0	70.0
Q6RCI9	60.0	60.0	40.0	80.0
Q6RCI9	60.0	60.0	50.0	70.0
R9W5L0	60.0	60.0	50.0	70.0
R9W5L0	60.0	60.0	30.0	70.0
C4PG45	60.0	60.0	50.0	70.0
Q8A916	60.0	60.0	35.0	65.0
I0AZ41	65.0	65.0	65.0	75.0
Q8A904	55.0	55.0	40.0	60.0
Q8A904	55.0	55.0	50.0	60.0
Q9S3L0	55.0	55.0	80.0	80.0
Q9S3L0	55.0	55.0	70.0	70.0
C4PG47	50.0	50.0	30.0	60.0
Q6RCI9	50.0	50.0	40.0	80.0
Q6RCI9	50.0	50.0	50.0	70.0
F6IEX3	35.0	45.0	32.0	45.0
F6IEX3	40.9	40.9	32.0	45.0
B5YC64	95.0	95.0	37.0	90.0
Q6RCI8	70.0	70.0	40.0	80.0
Q6RCI9	70.0	70.0	40.0	80.0
Q6RCI9	70.0	70.0	50.0	70.0
Q564A6	40.0	40.0	30.0	60.0
Q47RA9	65.0	65.0	25.0	90.0
A4ISB9	60.0	60.0	50.0	65.0
C6A190	60.0	60.0	50.0	75.0
C6A190	60.0	60.0	65.0	86.0
U6CL97	40.0	40.0	20.0	30.0
U6CL97	40.0	40.0	10.0	50.0
P23883	37.0	37.0	20.0	50.0
V5YT97	50.0	50.0	20.0	60.0
A5W402	35.0	35.0	10.0	45.0
A0A0H3HE78	35.0	35.0	15.0	50.0
A0A0H3H964	35.0	35.0	15.0	50.0
V5RFK1	40.0	50.0	20.0	60.0
V5RE14	40.0	50.0	20.0	60.0
O94219	30.0	30.0	40.0	40.0
O94219	12.0	12.0	40.0	40.0
O94219	25.0	25.0	40.0	40.0
E4QP00	45.0	45.0	25.0	45.0
E4QP00	45.0	45.0	25.0	45.0
E4QP00	45.0	45.0	25.0	45.0
Q766C2	55.0	55.0	45.0	70.0
Q766C3	50.0	50.0	37.0	55.0
Q975F9	80.0	80.0	70.0	100.0
Q975F9	80.0	80.0	70.0	100.0
P95980	70.0	70.0	50.0	90.0
P95980	70.0	70.0	50.0	50.0
P95980	37.0	37.0	50.0	90.0
P95980	37.0	37.0	50.0	50.0
P0ABS5	20.0	20.0	20.0	20.0
P0ABS5	30.0	37.0	20.0	20.0
A0A1S5VH75	35.0	35.0	30.0	45.0
Q5JD05	90.0	90.0	50.0	100.0
Q5JD05	90.0	90.0	70.0	100.0
Q5JD05	90.0	90.0	70.0	100.0
Q5I2C5	35.0	40.0	15.0	50.0
A0A0I9QGZ2	65.0	65.0	40.0	70.0
A0A0I9QGZ2	60.0	70.0	40.0	70.0
B9WPN8	74.0	74.0	30.0	90.0
P24481	55.0	60.0	30.0	55.0
Q6ST23	60.0	60.0	40.0	70.0
L0BXX7	60.0	60.0	30.0	70.0
P11544	30.0	30.0	30.0	55.0
C0HJ40	55.0	55.0	35.0	70.0
Q6ST23	50.0	50.0	40.0	70.0
B9VU66	37.0	37.0	30.0	45.0
P50389	100.0	100.0	90.0	130.0
P50389	100.0	100.0	60.0	120.0
P50389	120.0	120.0	90.0	130.0
P50389	120.0	120.0	60.0	120.0
P20971	90.0	90.0	40.0	90.0
Q01655	50.0	65.0	20.0	65.0
P61884	70.0	70.0	40.0	40.0
C1LT16	35.0	35.0	10.0	60.0
P61884	100.0	100.0	40.0	40.0
Q84W55	22.0	22.0	22.0	37.0
P45470	70.0	70.0	55.0	95.0
Q99497	55.0	55.0	55.0	95.0
Q99497	30.0	30.0	55.0	95.0
P31658	22.0	22.0	10.0	50.0
P45470	22.0	22.0	55.0	95.0
Q99497	22.0	22.0	55.0	95.0
P77846	65.0	65.0	30.0	70.0
B7IED6	75.0	75.0	50.0	90.0
Q6HA04	37.0	37.0	25.0	50.0
Q6HA05	50.0	50.0	25.0	60.0
A1S3N8	42.0	50.0	30.0	50.0
Q12R32	30.0	37.0	10.0	40.0
Q5UY95	50.0	50.0	25.0	50.0
Q9X015	80.0	80.0	50.0	90.0
Q9X015	80.0	80.0	40.0	90.0
Q9HIN1	55.0	55.0	40.0	60.0
S8EY38	37.0	37.0	15.0	75.0
P39460	50.0	50.0	87.0	87.0
P39460	70.0	70.0	87.0	87.0
Q9YC65	100.0	100.0	50.0	100.0
Q977X9	80.0	80.0	90.0	90.0
Q977X9	84.0	84.0	90.0	90.0
Q9YC65	50.0	50.0	50.0	100.0
Q877I4	70.0	70.0	50.0	75.0
Q877I4	70.0	70.0	50.0	75.0
Q877I3	70.0	70.0	50.0	75.0
Q877I3	70.0	70.0	50.0	75.0
Q877I5	70.0	70.0	50.0	75.0
Q877I5	70.0	70.0	50.0	75.0
Q877I4	65.0	65.0	50.0	75.0
Q877I4	65.0	65.0	50.0	75.0
Q877I3	65.0	65.0	50.0	75.0
Q877I3	65.0	65.0	50.0	75.0
Q877I5	65.0	65.0	50.0	75.0
Q877I5	65.0	65.0	50.0	75.0
Q5GS56	40.0	40.0	15.0	50.0
B5Y6G0	85.0	85.0	20.0	80.0
B5Y6G0	40.0	70.0	20.0	80.0
Q1JU59	40.0	40.0	4.0	50.0
Q1JU60	40.0	40.0	4.0	50.0
Q1JU61	30.0	30.0	4.0	50.0
Q1JU62	30.0	30.0	4.0	50.0
B3Y006	60.0	60.0	83.0	83.0
E4PMA5	37.0	37.0	25.0	50.0
P9WHR7	37.0	37.0	37.0	55.0
O27106	60.0	60.0	50.0	70.0
Q7LX99	75.0	75.0	65.0	80.0
A0A077HCY1	25.0	25.0	20.0	30.0
F2YGD2	45.0	45.0	55.0	55.0
F2YGD2	45.0	45.0	20.0	20.0
P27833	37.0	37.0	20.0	45.0
A3RE51	50.0	50.0	45.0	55.0
A0A1Z2RWY4	47.0	47.0	7.0	57.0
A0A3G1ICG7	37.0	37.0	7.0	57.0
A0A3G1ICG7	37.0	37.0	17.0	47.0
A1BPG9	25.0	25.0	25.0	50.0
Q0E4W0	20.0	20.0	18.0	25.0
Q9WYD1	80.0	80.0	60.0	60.0
Q9WYD1	80.0	80.0	40.0	40.0
Q9WYD1	80.0	80.0	90.0	90.0
Q8RHM6	20.0	20.0	20.0	80.0
Q8RHM6	15.0	15.0	20.0	80.0
A0A1B1WA13	30.0	30.0	60.0	60.0
A0A1B1WA13	30.0	30.0	60.0	60.0
A0A1D0BQV8	30.0	30.0	40.0	40.0
A0A1D0BQV8	30.0	30.0	37.0	37.0
A0A1D0BQV8	30.0	30.0	40.0	40.0
A0A1D0BQV8	30.0	30.0	37.0	37.0
F9UM18	30.0	37.0	22.0	45.0
M9VR53	70.0	70.0	50.0	90.0
A0A1S5XVA5	70.0	70.0	60.0	60.0
A0A1S5XVA5	70.0	70.0	80.0	80.0
F8SUI7	35.0	35.0	10.0	55.0
A0A1B1WA14	35.0	35.0	60.0	60.0
A0A1B1WA14	35.0	35.0	60.0	60.0
A0A1B1LML0	55.0	55.0	45.0	65.0
Q9HGR3	55.0	55.0	20.0	80.0
O42807	55.0	55.0	35.0	65.0
O42807	50.0	50.0	35.0	65.0
M9VY17	50.0	50.0	40.0	60.0
M9VUE0	40.0	40.0	20.0	50.0
M9VY20	40.0	40.0	30.0	60.0
O42807	40.0	40.0	35.0	65.0
Q70Y21	60.0	60.0	80.0	80.0
Q70Y21	60.0	60.0	70.0	70.0
M9VUD6	60.0	60.0	40.0	60.0
O42807	60.0	60.0	35.0	65.0
O42807	55.0	60.0	35.0	65.0
F2YCB6	37.0	37.0	15.0	37.0
F8SUI8	38.0	38.0	10.0	55.0
P83194	50.0	50.0	70.0	115.0
P83194	50.0	50.0	70.0	110.0
P83194	50.0	50.0	40.0	98.0
P83194	90.0	90.0	70.0	115.0
P83194	90.0	90.0	70.0	110.0
P83194	90.0	90.0	40.0	98.0
P83194	95.0	95.0	70.0	115.0
P83194	95.0	95.0	70.0	110.0
P83194	95.0	95.0	40.0	98.0
C3VMY4	40.0	40.0	20.0	60.0
C3VMY4	40.0	40.0	30.0	55.0
A8NNP9	60.0	60.0	40.0	70.0
Q9X0Z7	70.0	70.0	35.0	90.0
A0A223K4L6	40.0	40.0	20.0	55.0
A0A223K4L6	40.0	40.0	20.0	45.0
F0HXE4	60.0	60.0	30.0	80.0
F0HXE4	60.0	60.0	20.0	75.0
F0HXE4	60.0	60.0	20.0	75.0
F0HXE4	65.0	65.0	30.0	80.0
F0HXE4	65.0	65.0	20.0	75.0
F0HXE4	65.0	65.0	20.0	75.0
F0HXE4	55.0	55.0	30.0	80.0
F0HXE4	55.0	55.0	20.0	75.0
F0HXE4	55.0	55.0	20.0	75.0
Q8GP32	55.0	55.0	20.0	60.0
Q8GP32	55.0	55.0	40.0	60.0
Q8GP32	55.0	55.0	22.0	55.0
Q74K42	55.0	55.0	60.0	60.0
Q8GP32	37.0	37.0	20.0	60.0
Q8GP32	37.0	37.0	40.0	60.0
Q8GP32	37.0	37.0	22.0	55.0
Q8GP32	60.0	60.0	20.0	60.0
Q8GP32	60.0	60.0	40.0	60.0
Q8GP32	60.0	60.0	22.0	55.0
Q8GP32	50.0	50.0	20.0	60.0
Q8GP32	50.0	50.0	40.0	60.0
Q8GP32	50.0	50.0	22.0	55.0
A0A0F7C8X0	30.0	30.0	10.0	60.0
H5U8W4	30.0	30.0	15.0	50.0
H5U8W4	30.0	30.0	15.0	50.0
L0EKQ7	45.0	45.0	30.0	45.0
L0EKQ7	45.0	45.0	30.0	45.0
E1XUJ2	35.0	35.0	28.0	40.0
P9WHS7	55.0	55.0	65.0	65.0
P9WHS7	55.0	55.0	50.0	50.0
A8WBX8	50.0	50.0	35.0	60.0
Q9WYS1	60.0	60.0	90.0	90.0
Q9WXX1	85.0	85.0	65.0	95.0
O41078	42.0	42.0	25.0	55.0
O41078	42.0	42.0	25.0	55.0
A0A2W4GVN6	45.0	45.0	20.0	55.0
A0A167KLN5	60.0	60.0	40.0	70.0
A0A0A7RCI7	55.0	55.0	35.0	60.0
A0A0C5VFC0	30.0	30.0	15.0	40.0
Q875I9	55.0	65.0	45.0	75.0
Q7DC81	25.0	30.0	45.0	45.0
O52766	36.0	36.0	28.0	44.0
Q53I75	55.0	55.0	60.0	60.0
Q53I75	55.0	55.0	35.0	35.0
Q5U9W0	60.0	60.0	50.0	90.0
W8CJT2	60.0	60.0	30.0	80.0
Q49422	30.0	45.0	16.0	50.0
P0A814	65.0	65.0	37.0	65.0
A8J0J0	30.0	30.0	20.0	40.0
A0A3G9E319	25.0	25.0	4.0	40.0
O54288	70.0	70.0	70.0	100.0
Q4JC35	70.0	70.0	30.0	60.0
Q4JC35	70.0	70.0	50.0	90.0
Q4JC35	70.0	70.0	60.0	90.0
Q4JC35	99.0	99.0	30.0	60.0
Q4JC35	99.0	99.0	50.0	90.0
Q4JC35	99.0	99.0	60.0	90.0
Q4JC35	90.0	90.0	30.0	60.0
Q4JC35	90.0	90.0	50.0	90.0
Q4JC35	90.0	90.0	60.0	90.0
O54288	60.0	60.0	70.0	100.0
O54288	95.0	95.0	70.0	100.0
Q8TZW4	100.0	100.0	60.0	100.0
Q8ZQM4	30.0	30.0	5.0	60.0
Q57679	80.0	80.0	30.0	90.0
A0A1J4YSL8	30.0	30.0	25.0	37.0
A0A1J4YSL8	30.0	30.0	37.0	37.0
A0A1A9GS29	30.0	30.0	25.0	37.0
A0A1A9GS29	30.0	30.0	37.0	37.0
Q54BM7	37.0	37.0	15.0	40.0
