bucket,domain,freq,weighted,h,meas
12,E,744,20.199268386168132876273579,1,nrep
13,A,13,0.005973384045098852672171,1,nrep
13,B,704,0.230620736735677369933672,1,nrep
13,E,1052,28.193894985791414207840599,1,nrep
14,A,5,0.001739531213010536568179,1,nrep
14,B,540,1.161043984120487896881509,1,nrep
14,E,1040,41.092775729243941812797364,1,nrep
15,A,10,0.002281313156795259504993,1,nrep
15,B,444,0.335365415356638917814830,1,nrep
15,E,1631,163.871454048934223063131826,1,nrep
16,A,6,0.002472686743209261624543,1,nrep
16,B,328,1.114918561770589509964696,1,nrep
16,E,798,45.638732414932030530796955,1,nrep
17,A,5,0.002830084058303907686410,1,nrep
17,B,462,0.170932938909390898710018,1,nrep
17,E,1922,489.482078798280514670346492,1,nrep
18,A,14,0.004844665291412884979438,1,nrep
18,B,527,0.625506105413258970733278,1,nrep
18,E,395,0.527612603479927655878830,1,nrep
19,A,5,0.001269020406690778894453,1,nrep
19,B,350,0.077564813404252202561020,1,nrep
19,E,200,1.298902067036096160604997,1,nrep
20,A,7,0.00523306457339227408,1,nrep
20,B,328,0.074449716649549809908558,1,nrep
20,E,408,3.994229600666852482931324,1,nrep
21,A,3,0.001028601080649817662322,1,nrep
21,B,340,0.075091291007433804154245,1,nrep
21,E,287,0.584560227184956324412641,1,nrep
22,A,8,0.002686845234357331658133,1,nrep
22,B,372,0.158221335644667456512802,1,nrep
22,E,369,3.563379510004293417941723,1,nrep
23,A,4,0.000662397777346462445359,1,nrep
23,B,309,0.075499779663290595154982,1,nrep
23,E,433,30.342576233908115946558670,1,nrep
24,A,4,0.001225827650398502526418,1,nrep
24,B,339,0.569089322022523185948893,1,nrep
24,E,442,16.372828912467546960216241,1,nrep
25,A,7,0.002716547950383596758510,1,nrep
25,B,365,0.071643066066308342819400,1,nrep
25,E,453,8.787466658363255491652483,1,nrep
26,A,3,0.00055797486352776225,1,nrep
26,B,400,0.113366237456700446015998,1,nrep
26,E,502,11.197922919691311392396632,1,nrep
27,A,9,0.012640907575925247109447,1,nrep
27,B,558,4.044467424830979732224204,1,nrep
27,E,855,34.220859246075938568053267,1,nrep
28,A,5,0.001293791662950996598185,1,nrep
28,B,299,0.062524429423371903168586,1,nrep
28,E,156,1.343596808097645693430919,1,nrep
29,A,12,0.004012181834141847083429,1,nrep
29,B,309,2.190987322917254056696206,1,nrep
29,E,753,136.926510365161282492419822,1,nrep
30,A,15,0.004991227929946960528091,1,nrep
30,B,348,0.315398083636902182113792,1,nrep
30,E,662,82.391679218532996709394193,1,nrep
31,A,1,0.000066688896298766255418,1,nrep
31,B,154,0.033545348971234724265180,1,nrep
31,E,181,0.032986766566594886915552,1,nrep
32,A,6,0.00481638567437269931,1,nrep
32,B,352,0.140542912638865381735879,1,nrep
32,E,645,50.132422365954035880881069,1,nrep
33,A,9,0.003521094990916224275912,1,nrep
33,B,269,0.100603166493363231808946,1,nrep
33,E,315,3.949399971547386958241505,1,nrep
34,A,6,0.001723850823621226250274,1,nrep
34,B,292,1.066498659863349394400014,1,nrep
34,E,1321,383.349743314519884785026602,1,nrep
35,A,3,0.00191505637029398758,1,nrep
35,B,270,0.082755482577764339428256,1,nrep
35,E,186,0.718120991238977375645027,1,nrep
36,A,10,0.003835877971660821762845,1,nrep
36,B,352,1.417854982857260280315465,1,nrep
36,E,408,35.682258243687984107944294,1,nrep
37,A,4,0.00153282462789851042,1,nrep
37,B,297,0.560619671691086184522658,1,nrep
37,E,313,16.880259399306295980180429,1,nrep
38,A,5,0.001727153100729271862141,1,nrep
38,B,307,0.064668075183733760997032,1,nrep
38,E,181,1.660216301128146306493563,1,nrep
39,A,9,0.002872253502499515328182,1,nrep
39,B,288,0.057918715771783960727445,1,nrep
39,E,364,16.846845935907478292133188,1,nrep
40,A,8,0.001472147315100713445033,1,nrep
40,B,253,0.051199362357975355642060,1,nrep
40,E,205,2.466284423644867819844881,1,nrep
41,A,3,0.000243270677432706771824,1,nrep
41,B,272,1.053617160645595953660913,1,nrep
41,E,414,34.695494047029066521890095,1,nrep
42,A,6,0.000934698716671585881678,1,nrep
42,B,272,0.055858650658122317174253,1,nrep
42,E,225,2.361509604873809133918578,1,nrep
43,A,5,0.00275932055644426371,1,nrep
43,B,258,0.051991623987676957560408,1,nrep
43,E,503,87.582259925306913617611448,1,nrep
44,A,5,0.00182533492260373355,1,nrep
44,B,308,0.060089573696780951630838,1,nrep
44,E,276,3.230341435888210491609028,1,nrep
45,A,6,0.002037256548223485199338,1,nrep
45,B,379,0.073796147252196065240554,1,nrep
45,E,771,184.771240273121028550335639,1,nrep
46,A,4,0.00133828336205089783,1,nrep
46,B,134,0.029133566109579838399605,1,nrep
46,E,78,0.437156263392816656855112,1,nrep
47,A,5,0.000796848930482920652641,1,nrep
47,B,285,0.730301456039423729876417,1,nrep
47,E,372,40.862299660829286461334769,1,nrep
48,A,2,0.00069040924711027804,1,nrep
48,B,234,0.558791036065763471185562,1,nrep
48,E,265,16.142155723900837836000469,1,nrep
49,A,7,0.00367865095901488002,1,nrep
49,B,303,0.091278194589042071303066,1,nrep
49,E,394,18.990021162236468896864852,1,nrep
50,A,4,0.00286192845259376129,1,nrep
50,B,183,1.033600017059601592689910,1,nrep
50,E,138,1.664265690842596182791950,1,nrep
51,A,11,0.001971377425488727403283,1,nrep
51,B,220,0.042726955406184480275869,1,nrep
51,E,744,126.768100507646693668295944,1,nrep
52,A,6,0.003041905737109020615912,1,nrep
52,B,239,1.254404755053122589170464,1,nrep
52,E,264,16.615610131130827680255315,1,nrep
53,A,6,0.001944803449966790511084,1,nrep
53,B,224,0.049665218549075012897774,1,nrep
53,E,197,1.094356336588510276734276,1,nrep
54,A,8,0.002469920270159222556907,1,nrep
54,B,329,1.060187803976190935236955,1,nrep
54,E,466,49.760519926223437298017207,1,nrep
55,A,1,0.000013711214402259608133,1,nrep
55,B,84,0.214266154379640469969554,1,nrep
55,E,59,0.052353440410434983903673,1,nrep
56,A,4,0.001077554813890187188541,1,nrep
56,B,230,0.042487126892300544356736,1,nrep
