bucket,multicell,freq,weighted,h,meas
1,f,1526,24.837358205394042133811210,1,nrep
1,t,18626,1573.863726640435529684846851,1,nrep
2,t,4,0.000350238897565036535779,1,nrep
3,f,4,0.000546147813048345333410,1,nrep
3,t,41,0.008912044944882123342311,1,nrep
4,f,24,0.003129432987801607483871,1,nrep
4,t,141,0.071815614383312803852775,1,nrep
5,f,44,0.040106028766444709175107,1,nrep
5,t,164,0.090420643190252588093363,1,nrep
6,f,42,0.005338279448696090602215,1,nrep
6,t,193,0.284661464275572150906951,1,nrep
7,f,62,0.889841651441471084127459,1,nrep
7,t,297,0.241053686543747019025686,1,nrep
8,f,74,0.517955525994456031868249,1,nrep
8,t,398,1.102446655673097118017166,1,nrep
9,f,81,0.027896398514130716189958,1,nrep
9,t,609,3.277132636062422252384005,1,nrep
10,f,60,0.710350520252316777117019,1,nrep
10,t,602,0.724552105577220043375614,1,nrep
11,f,63,0.078490977154682303858566,1,nrep
11,t,622,18.456077591704465535174724,1,nrep
12,f,53,0.014751939109072441078228,1,nrep
12,t,691,20.184516447059060435195351,1,nrep
13,f,73,2.676262230297740287381107,1,nrep
13,t,979,25.517632755493673920459492,1,nrep
14,f,309,5.559720071786482377346056,1,nrep
14,t,731,35.533055657457459435451308,1,nrep
15,f,101,2.935125182166184436814525,1,nrep
15,t,1530,160.936328866768038626317301,1,nrep
16,f,77,0.272883406069822660023966,1,nrep
16,t,721,45.365849008862207870772989,1,nrep
17,f,56,0.158270202445414108337400,1,nrep
17,t,1866,489.323808595835100562009092,1,nrep
18,f,53,0.030509309822839404508149,1,nrep
18,t,342,0.497103293657088251370681,1,nrep
19,f,22,0.002643118656031768123406,1,nrep
19,t,178,1.296258948380064392481591,1,nrep
20,f,36,0.107816194017472046326013,1,nrep
20,t,372,3.886413406649380436605311,1,nrep
21,f,36,0.012736492562719643270467,1,nrep
21,t,251,0.571823734622236681142174,1,nrep
22,f,45,0.148842884045812374879123,1,nrep
22,t,324,3.414536625958481043062600,1,nrep
23,f,28,0.088429379852614552391611,1,nrep
23,t,405,30.254146854055501394167059,1,nrep
24,f,46,0.338870784938349243880304,1,nrep
24,t,396,16.033958127529197716335937,1,nrep
25,f,55,0.144260798836506020416448,1,nrep
25,t,398,8.643205859526749471236035,1,nrep
26,f,67,1.817006754075191478154562,1,nrep
26,t,435,9.380916165616119914242070,1,nrep
27,f,138,1.253831152618046272476957,1,nrep
27,t,717,32.967028093457892295576310,1,nrep
28,f,15,0.003111759699920396899937,1,nrep
28,t,141,1.340485048397725296530982,1,nrep
29,f,43,0.246152331518504010200897,1,nrep
29,t,710,136.680358033642778482218925,1,nrep
30,f,74,0.990756484781784404683992,1,nrep
30,t,588,81.400922733751212304710201,1,nrep
31,f,25,0.004320021539510060193366,1,nrep
31,t,156,0.028666745027084826722186,1,nrep
32,f,73,1.322341880274710857051735,1,nrep
32,t,572,48.810080485679325023829334,1,nrep
33,f,34,1.955142304046911980942422,1,nrep
33,t,281,1.994257667500474977299083,1,nrep
34,f,56,1.337440061917725336544190,1,nrep
34,t,1265,382.012303252602159448482412,1,nrep
35,f,31,0.143618023029071550277112,1,nrep
35,t,155,0.574502968209905825367915,1,nrep
36,f,33,0.026417956598530926837289,1,nrep
36,t,375,35.655840287089453181107005,1,nrep
37,f,63,2.033618923594617894475106,1,nrep
37,t,250,14.846640475711678085705323,1,nrep
38,f,31,0.325725877958044690224615,1,nrep
38,t,150,1.334490423170101616268948,1,nrep
39,f,52,2.785171724552458038468488,1,nrep
39,t,312,14.061674211355020253664700,1,nrep
40,f,31,0.289310399996152636835209,1,nrep
40,t,174,2.176974023648715183009672,1,nrep
41,f,29,0.004128679472430963241878,1,nrep
41,t,385,34.691365367556635558648217,1,nrep
42,f,24,0.392825039026961182192453,1,nrep
42,t,201,1.968684565846847951726125,1,nrep
43,f,85,6.302739784050722937864832,1,nrep
43,t,418,81.279520141256190679746616,1,nrep
44,f,58,2.018117271126630644594115,1,nrep
44,t,218,1.212224164761579847014913,1,nrep
45,f,58,2.247187176502192906917355,1,nrep
45,t,713,182.524053096618835643418284,1,nrep
46,f,4,0.000270530704556138452978,1,nrep
46,t,74,0.436885732688260518402134,1,nrep
47,f,38,1.681346618205859193832876,1,nrep
47,t,334,39.180953042623427267501893,1,nrep
48,f,33,0.176525441353711462178526,1,nrep
48,t,232,15.965630282547126373821943,1,nrep
49,f,89,4.729887675352054221765450,1,nrep
49,t,305,14.260133486884414675099402,1,nrep
50,f,27,0.830072148044442147912949,1,nrep
