name	taxon	thermophile
Escherichia coli	562	0
Saccharomyces cerevisiae	4932	0
Saccharomyces cerevisiae S288C	559292	0
Homo sapiens	9606	0
Bacillus subtilis	1423	0
Drosophila melanogaster	7227	0
Lactobacillus acidophilus	1579	0
Clostridium perfringens	1502	0
Sulfolobus solfataricus	2287	1
Saccharolobus solfataricus	2287	1
Saccharolobus solfataricus 98/2	555311	1
Saccharolobus solfataricus P2	273057	1
Sulfolobus acidocaldarius	2285	1
Thermoproteus tenax	2271	1
Thermoproteus tenax Kra 1	768679	1
Hyperthermus butylicus	54248	1
Hyperthermus butylicus DSM 5456	415426	1
Geobacillus stearothermophilus	1422	1
Geobacillus stearothermophilus 10	272567	1
Geobacillus stearothermophilus ATCC 12980	1366047	1
Geobacillus stearothermophilus ATCC 7953	937593	1
Geobacillus stearothermophilus C56-N21	664733	1
Geobacillus stearothermophilus L14	405537	1
Geobacillus stearothermophilus t1	646308	1
Geobacillus stearothermophilus T6	646309	1
Moorella thermoacetica	1525	1
Moorella thermoacetica ATCC 39073	264732	1
Moorella thermoacetica Y72	1325331	1
Moorella thermoautotrophica DSM 1974	1122242	1
Thermotoga maritima	2336	1
Thermotoga maritima MSB8	243274	1
Pyrococcus furiosus	2261	1
Pyrococcus furiosus COM1	1185654	1
Pyrococcus furiosus DSM 3638	186497	1
Thermotoga neapolitana	2337	1
Thermotoga neapolitana 2812A	1237157	1
Thermotoga neapolitana DSM 4359	309803	1
Thermotoga neapolitana LA10	1288483	1
Thermotoga neapolitana Mcl	1237158	1
Acidothermus cellulolyticus	28049	1
Acidothermus cellulolyticus 11B	351607	1
Sulfurisphaera tokodaii	111955	1
Sulfurisphaera tokodaii str. 7	273063	1
Meiothermus ruber	277	1
Meiothermus ruber DSM 1279	504728	1
Meiothermus ruber H328	1297799	1
Geobacillus sp.	1891658	1
Bacillus pumilus	1408	1
Bacillus pumilus ATCC 7061	536229	1
Bacillus pumilus BA06	1227811	1
Bacillus pumilus BL8	1189615	1
Bacillus pumilus CCMA-560	1350468	1
Bacillus pumilus CIMFR	1330463	1
Bacillus pumilus DW2J2	1326979	1
Bacillus pumilus g1317	1441465	1
Bacillus pumilus IKMB12-518F	657325	1
Bacillus pumilus INR7	1423688	1
Bacillus pumilus M21	1255665	1
Bacillus pumilus S-1	1076692	1
Bacillus pumilus SAFR-032	315750	1
Bacillus pumilus sxm20-2	1326978	1
Geobacillus thermoleovorans	33941	1
Geobacillus thermoleovorans B23	1406857	1
Geobacillus thermoleovorans BGSC 96A1	1366048	1
Geobacillus thermoleovorans CCB_US3_UF5	1111068	1
Geobacillus thermoleovorans subsp. stromboliensis	278196	1
