RCSB	npoints	H	MB	time
1a30	201	1	597MB	00:01:42
1a79	684	1	1060MB	00:01:25
1abr	518	1	841MB	00:01:50
1ah7	245	1	787MB	00:07:06
1bo1	644	1	983MB	00:02:50
1c9u	896	1	1137MB	00:01:39
1cg6	268	1	681MB	00:06:36
1di1	580	1	840MB	00:01:14
1dqs	761	1	1219MB	00:02:35
1ec9	1774	1	2476MB	00:08:34
1ezf	967	1	1507MB	00:02:40
1f48	548	1	829MB	00:01:03
1fcq	314	1	616MB	00:04:35
1foh	2610	1	5882MB	00:25:35
1g24	844	1	1099MB	00:01:30
1glo	217	1	509MB	00:01:54
1gqg	1337	1	1828MB	00:05:39
1h54	1506	1	2274MB	00:06:22
1hr6	3587	1	25114MB	01:04:51
1hs6	610	1	760MB	00:04:08
1jkm	719	1	932MB	00:02:43
1ksj	301	1	508MB	00:02:25
1ldm	329	1	629MB	00:02:15
1ltq	287	1	623MB	00:05:37
1mok	2088	1	2443MB	00:11:27
1ndi	1192	1	1602MB	00:02:47
1okg	347	1	568MB	00:01:18
1qi9	1110	1	1829MB	00:02:44
1r76	384	1	682MB	00:02:30
1tdj	494	1	785MB	00:02:06
1uas	362	1	573MB	00:01:47
1vie	60	1	619MB	00:01:23
1zk7	467	1	595MB	00:03:20
206l	162	1	607MB	00:01:32
2hxt	434	1	749MB	00:02:18
3gdp	1042	1	1577MB	00:02:39
3nos	800	1	1094MB	00:02:50
4jn7	408	1	576MB	00:01:18
1a30	201	2	890MB	00:02:07
1a79	684	2	18275MB	00:10:34
1abr	518	2	5604MB	00:03:24
1ah7	245	2	572MB	00:06:26
1bo1	644	2	13392MB	00:07:33
1c9u	896	2	26781MB	00:23:19
1cg6	268	2	1437MB	00:06:36
1di1	580	2	7340MB	00:03:19
1dqs	761	2	31261MB	00:15:38
1ec9	1774	2	122789MB	00:54:23
1ezf	967	2	38077MB	00:36:30
1f48	548	2	6342MB	00:04:34
1fcq	314	2	2016MB	00:01:43
1foh	2610	2	117978MB	00:07:36
1g24	844	2	25507MB	00:14:10
1glo	217	2	453MB	00:07:01
1gqg	1337	2	127032MB	00:28:55
1h54	1506	2	130862MB	00:39:04
1hr6	3587	2	129887MB	00:05:42
1hs6	610	2	10366MB	00:08:53
1jkm	719	2	16404MB	00:13:55
1ksj	301	2	1941MB	00:03:09
1ldm	329	2	2291MB	00:01:39
1ltq	287	2	632MB	00:03:53
1mok	2088	2	125665MB	02:02:36
1ndi	1192	2	95428MB	01:24:49
1okg	347	2	2978MB	00:02:31
1qi9	1110	2	71134MB	01:27:01
1r76	384	2	3111MB	00:01:45
1tdj	494	2	5403MB	00:04:17
1uas	362	2	4088MB	00:01:44
1vie	60	2	693MB	00:01:23
1zk7	467	2	4722MB	00:04:11
206l	162	2	530MB	00:01:53
2hxt	434	2	1721MB	00:02:17
3gdp	1042	2	127704MB	00:14:19
3nos	800	2	20045MB	00:14:31
4jn7	408	2	3334MB	00:04:00
