PDB	domainStart	domainStop	resi_min	resi_max	resi_span	resi_count	domainFrac	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	AlphaFoldDB	note	evidence
6ICH	60	152	60	152	93	93	1	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2MQI	149	246	149	248	100	100	0.98	P06241	reviewed	FYN_HUMAN	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	FYN	Homo sapiens (Human)	537	P06241;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2MRJ	149	246	149	248	100	100	0.98	P06241	reviewed	FYN_HUMAN	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	FYN	Homo sapiens (Human)	537	P06241;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1GHU	60	152	58	152	95	95	0.9789473684210527	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
6ICG	60	152	58	152	95	95	0.9789473684210527	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
7MPH	60	152	58	152	95	95	0.9789473684210527	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1CJ1	60	152	57	152	96	96	0.96875	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1AYD	6	102	3	103	101	101	0.9603960396039604	P35235	reviewed	PTN11_MOUSE	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase SYP) (SH-PTP2) (SHP-2) (Shp2)	Ptpn11	Mus musculus (Mouse)	593	P35235;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
2CI8	282	376	280	378	99	99	0.9595959595959596	P16333	reviewed	NCK1_HUMAN	Cytoplasmic protein NCK1 (NCK adaptor protein 1) (Nck-1) (SH2/SH3 adaptor protein NCK-alpha)	NCK1 NCK	Homo sapiens (Human)	377	P16333;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3TKZ	6	102	2	103	102	102	0.9509803921568627	Q06124	reviewed	PTN11_HUMAN	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	593	Q06124;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
2H46	60	152	55	152	98	98	0.9489795918367347	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2H5K	60	152	2	152	151	98	0.9489795918367347	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1BHH	127	224	123	226	104	104	0.9423076923076923	P06239	reviewed	LCK_HUMAN	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	LCK	Homo sapiens (Human)	509	P06239;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1F2F	148	245	144	247	104	104	0.9423076923076923	P00523	reviewed	SRC_CHICK	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC	Gallus gallus (Chicken)	533	P00523;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1LCJ	127	224	123	226	104	104	0.9423076923076923	P06239	reviewed	LCK_HUMAN	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	LCK	Homo sapiens (Human)	509	P06239;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
4JE4	6	102	2	104	103	103	0.941747572815534	Q06124	reviewed	PTN11_HUMAN	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	593	Q06124;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
5KAZ	5	101	1	103	103	103	0.941747572815534	O14796	reviewed	SH21B_HUMAN	SH2 domain-containing protein 1B (EWS/FLI1-activated transcript 2) (EAT-2)	SH2D1B EAT2	Homo sapiens (Human)	132	O14796;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1A1E	151	248	102	249	148	105	0.9333333333333333	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
4QSY	6	102	1	104	104	104	0.9326923076923077	Q06124	reviewed	PTN11_HUMAN	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	593	Q06124;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
1X0N	60	152	60	159	100	100	0.93	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3IN7	60	152	55	154	100	100	0.93	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3KFJ	60	152	56	155	100	100	0.93	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1JWO	122	211	117	213	97	97	0.9278350515463918	P42679	reviewed	MATK_HUMAN	Megakaryocyte-associated tyrosine-protein kinase (EC 2.7.10.2) (CSK homologous kinase) (CHK) (Hematopoietic consensus tyrosine-lacking kinase) (Protein kinase HYL) (Tyrosine-protein kinase CTK)	MATK CTK HYL	Homo sapiens (Human)	507	P42679;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1A07	151	248	102	249	148	106	0.9245283018867925	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1A08	151	248	102	249	148	106	0.9245283018867925	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	P12931;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
