SMN1_SCHPO	Q09808
SMN_DROME	Q9VV74
W4XFQ6_STRPU	W4XFQ6
F6YAV6_CIOIN	F6YAV6
F1QYJ3_DANRE	F1QYJ3
H3ANC5_LATCH	H3ANC5
F7AWW9_XENTR	F7AWW9
Q98SU9_CHICK	Q98SU9
F7EJU6_ORNAN	F7EJU6
SMN_MOUSE	P97801
SMN_PONAB	Q5RE18
SMN_HUMAN	Q16637
